Dead Time (micro sec),Pulse Width (micro sec),Recovery Time (ms),Voltage,Interval (sec),High Counts ,Low Counts,Background Counts
606 +/- 5,32.8 +/- 5,1.41+/- 0.05,640,10 High,3150,2,13
,,,,0.1 Low,3158,5,
,,,,100 Background,3144,1,
,,,,,3140,5,
,,,,,3133,3,
,,,,,3105,5,
,,,,,3061,5,
,,,,,3180,5,
,,,,,3109,4,
,,,,,3049,3,
,,,,,3042,3,
,,,,,3158,2,
,,,,,3199,4,
,,,,,3110,0,
,,,,,3211,3,
,,,,,3113,4,
,,,,,3057,3,
,,,,,3046,4,
,,,,,3101,5,
,,,,,3105,1,
,,,,,3103,5,
,,,,,3202,2,
,,,,,3024,5,
,,,,,3069,2,
,,,,,3150,1,
,,,,,3138,3,
,,,,,3147,5,
,,,,,3073,2,
,,,,,3036,6,
,,,,,3155,5,
,,,,,3005,1,
,,,,,3092,2,
,,,,,3116,1,
,,,,,3085,3,
,,,,,3151,1,
,,,,,3078,4,
,,,,,3111,2,
,,,,,3130,3,
,,,,,3137,3,
,,,,,3107,4,
,,,,,3049,5,
,,,,,3106,7,
,,,,,3230,2,
,,,,,3129,4,
,,,,,3098,2,
,,,,,3091,3,
,,,,,3153,4,
,,,,,3050,8,
,,,,,3069,1,
,,,,,3122,4,
,,,,,3054,4,
,,,,,3133,6,
,,,,,3082,3,
,,,,,3113,4,
,,,,,3080,7,
,,,,,3180,2,
,,,,,3133,2,
,,,,,3117,3,
,,,,,3122,1,
,,,,,3024,3,
,,,,,3116,2,
,,,,,3080,3,
,,,,,3046,8,
,,,,,3079,7,
,,,,,3059,2,
,,,,,3168,2,
,,,,,3123,4,
,,,,,3045,4,
,,,,,3093,8,
,,,,,3138,5,
,,,,,3087,4,
,,,,,3154,4,
,,,,,3130,6,
,,,,,3064,2,
,,,,,3140,1,
,,,,,3059,1,
,,,,,3084,3,
,,,,,3001,6,
,,,,,3141,7,
,,,,,3179,2,
,,,,,3066,6,
,,,,,3069,5,
,,,,,3071,2,
,,,,,3089,4,
,,,,,3134,7,
,,,,,3144,2,
,,,,,3096,2,
,,,,,3118,7,
,,,,,3085,4,
,,,,,3045,5,
,,,,,3161,5,
,,,,,3081,2,
,,,,,3100,5,
,,,,,3140,5,
,,,,,3085,2,
,,,,,3187,4,
,,,,,3082,2,
,,,,,3088,2,
,,,,,3207,4,
,,,,,3072,2,