Al mg/cm^2,Al Thickness (cm),Peak 1 Net Area,Centroid,Sigma,Peak 2 Net Area,Centroid,Sigma,,Al Plate Thickness (cm),Density g/cm^3,Time ,ROI Peak 1,ROI Peak 2 ,Pb Plate Thickness (mm)
,,,,,,,,,1.013 +/- .002,Al - 2.7,4 min,700-794,795-892,5.59
0,#VALUE!,13182,744.7,1.06,10956,842.2,1.12,,1.292 +/- .002,pb = 11.342,,,,4.87
3.42,#VALUE!,13112,745.03,1.13,11789,841.76,1.08,,1.312 +/- .002 ,,,,,5.35
6.85,#VALUE!,10915,743.76,1.28,9912,841.57,1.21,,,,,,,6.23
1610,#VALUE!,10547,743.19,1.36,10288,840.7,1.16,,,,,,,5.47
,1.013,9602,742.12,1.4,8996,840.21,1.25,,,,,,,5.6
,,,,,,,,,Peak 1 (keV),Peak 2 (keV),,,,5.7
,,,,,,,,,1173,1333,,,,5.48
,,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,,5.02
,,,,,,,,,,,,,,5.21
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,      ,,,,,,,,,,,,,