Gold:,$\theta$,Counts/ 5 sec,Alum:,$\theta$,Counts/5 sec
.18+/-.05,-20,4280,.18+/-.05,-20,729
,-20,4121,,-20,795
,-20,4114,,-20,753
,-20,4220,,-20,787
,-20,4221,,-20,800
,-15,4484,,-15,1031
,-15,4576,,-15,1310
,-15,4583,,-15,1327
,-15,4456,,-15,1380
,-15,4433,,-15,1631
,-10,5159,,-10,966
,-10,5058,,-10,921
,-10,5798,,-10,928
,-10,5221,,-10,971
,-10,4810,,-10,1023
,-7,6897,,-7,682
,-7,7031,,-7,640
,-7,6727,,-7,642
,-7,6275,,-7,642
,-7,6466,,-7,634
,-5,10202,,-5,463
,-5,11017,,-5,402
,-5,10058,,-5,323
,-5,10427,,-5,242
,-5,11305,,-5,200
,5,12494,,5,415
,5,12867,,5,550
,5,11370,,5,624
,5,12383,,5,545
,5,13238,,5,631
,10,8637,,7,117
,10,9990,,7,142
,10,8443,,7,177
,10,9917,,7,223
,10,9563,,7,190
,20,4132,,10,135
,20,3964,,10,225
,20,4506,,10,126
,20,4175,,10,144
,20,3513,,10,104
,,,,15,789
,,,,15,773
,,,,15,835
,,,,15,837
,,,,15,621
,,,,20,1232
,,,,20,1250
,,,,20,1328
,,,,20,1313
,,,,20,1196