Current,Field,Current unc,Field unc,Current,up alpha left,up alpha right ,up alpha unc,right angle,down alpha left,down alpha right ,down alpha unc,left angle
0.53,257.1,0.01,0.5,6,0.748,0.941,0.01,0.855,-0.834,-0.663,0.01,-0.749
1.01,492.1,0.01,0.5,5,0.77,0.919,0.01,0.855,-0.813,-0.663,0.01,-0.749
1.52,722.9,0.01,0.5,4,0.791,0.919,0.01,0.855,-0.813,-0.685,0.01,-0.749
2.01,963.6,0.01,0.5,3,0.812,0.898,0.01,0.855,-0.792,-0.706,0.01,-0.749
2.5,1206.5,0.01,0.5,,,,,,,,,
3.01,1457.6,0.01,0.5,,,,,,,,,
3.45,1666.5,0.01,0.5,,,,,,,,,
4.01,1945.6,0.01,0.5,,,,,,,,,
4.52,2180.6,0.01,0.5,,,,,,,,,
5.02,2405.3,0.01,0.5,,,,,,,,,
5.5,2626.3,0.01,0.5,,,,,,,,,
6,2808.4,0.01,0.5,,,,,,,,,
6.5,2951,0.01,0.5,,,,,,,,,
7,3065.3,0.01,0.5,,,,,,,,,
7.5,3162.2,0.01,0.5,,,,,,,,,
8,3247.5,0.01,0.5,,,,,,,,,
8.49,3343.1,0.01,0.5,,,,,,,,,
8.99,3421,0.01,0.5,,,,,,,,,
9.5,3487,0.01,0.5,,,,,,,,,
10,3555,0.01,0.5,,,,,,,,,